"source_id","authors","year","title","venue","research_area","dataset_or_participants","method_or_concept","metrics_or_evaluation","key_supported_claim","important_limitation","framework_relevance","planned_section","doi","primary_url","verification_level","inclusion_status"
"S11","Abu Farha & Gall","2019","MS-TCN: Multi-Stage Temporal Convolutional Network for Action Segmentation","CVPR","Temporal action segmentation","50Salads; Georgia Tech Egocentric Activities; Breakfast","Multi-stage dilated temporal convolution with smoothing loss","Frame accuracy; edit score; segmental F1","Directly addresses framewise action segmentation and over-segmentation.","Long multi-action videos differ from short ordered jab phases.","Supports temporal refinement and the need for boundary/sequence metrics beyond accuracy.","Phase model; evaluation","","https://openaccess.thecvf.com/content_CVPR_2019/html/Abu_Farha_MS-TCN_Multi-Stage_Temporal_Convolutional_Network_for_Action_Segmentation_CVPR_2019_paper.html","Full-text analytic extraction completed for selected claims","Include"
"S12","Yi, Wen & Jiang","2021","ASFormer: Transformer for Action Segmentation","BMVC","Temporal action segmentation","Three public action-segmentation datasets","Local-connectivity transformer with hierarchical temporal representation and iterative decoder","Frame/segment action-segmentation metrics","Shows local temporal priors and decoder refinement can help with long sequences and small datasets.","Still assumes substantially larger labelled datasets than the current generated bootstrap set.","Alternative temporal architecture and small-data caution.","Phase model; future work","10.48550/arXiv.2110.08568","https://arxiv.org/abs/2110.08568","Full-text analytic extraction completed for selected claims","Include"
"S13","Ionescu et al.","2014","Human3.6M: Large Scale Datasets and Predictive Methods for 3D Human Sensing in Natural Environments","IEEE TPAMI 36(7)","3D pose dataset","Human3.6M","Synchronized multiview RGB, motion capture, depth and body scans","3D pose estimation baselines","Introduces the controlled Human3.6M benchmark widely used by motion-prediction studies.","Indoor acted activities, calibrated capture and limited actors differ from laptop-camera jab capture.","Supports benchmark provenance and domain-gap disclosure.","Datasets; limitations","10.1109/TPAMI.2013.248","https://vision.imar.ro/human3.6m/human36m_techrep.pdf","Full-text analytic extraction completed for selected claims","Include"
"S14","Mehta et al.","2017","Monocular 3D Human Pose Estimation in the Wild Using Improved CNN Supervision","3DV","Monocular 3D pose","MPI-INF-3DHP","Monocular 3D pose with mixed indoor/outdoor benchmark","3D pose estimation error","Introduces an in-the-wild-oriented benchmark relevant to monocular robustness.","Pose estimation is not temporal prediction; capture conditions still differ from the P001 application.","Supports external pose-data rationale and deployment-domain caveat.","Datasets; limitations","10.1109/3DV.2017.00064","https://arxiv.org/abs/1611.09813","Full-text analytic extraction completed for selected claims","Include"
"S15","von Marcard et al.","2018","Recovering Accurate 3D Human Pose in the Wild Using IMUs and a Moving Camera","ECCV","In-the-wild 3D pose dataset","3DPW; more than 51,000 frames","Video plus inertial sensing for accurate ground truth","3D pose estimation evaluation","Demonstrates how inertial sensing can strengthen in-the-wild pose ground truth.","Requires sensors absent from the current laptop-camera-only feasibility case.","Supports sensor-fusion future work and explains current ground-truth limits.","Datasets; future work","","https://openaccess.thecvf.com/content_ECCV_2018/html/Timo_von_Marcard_Recovering_Accurate_3D_ECCV_2018_paper.html","Full-text analytic extraction completed for selected claims","Include"
"S16","Wehrbein et al.","2021","Probabilistic Monocular 3D Human Pose Estimation With Normalizing Flows","ICCV","Monocular 3D pose uncertainty","Human3.6M; MPI-INF-3DHP","Probabilistic pose estimation for ambiguous image evidence","3D pose error and plausibility","Treats monocular 3D pose as ambiguous rather than uniquely observable.","Does not directly evaluate coaching decisions or landmark tracking in this system.","Supports uncertainty-aware interpretation of camera-derived angles and depth.","Limitations; future work","","https://openaccess.thecvf.com/content/ICCV2021/html/Wehrbein_Probabilistic_Monocular_3D_Human_Pose_Estimation_With_Normalizing_Flows_ICCV_2021_paper.html","Full-text analytic extraction completed for selected claims","Include"
"S17","Endsley","1995","Toward a Theory of Situation Awareness in Dynamic Systems","Human Factors 37(1)","Situation awareness","Conceptual and empirical human-factors literature","Three-level situation-awareness model: perception, comprehension, projection","Conceptual validation and human-performance evidence","Defines situation awareness as perception, comprehension and projection, influenced by goals, mental models and attention limits.","A human cognitive theory cannot by itself prove machine cognition or awareness.","Provides a bounded conceptual lens for L1-L4 state and projection; terminology must remain computational.","Conceptual framework; claim control","10.1518/001872095779049543","https://journals.sagepub.com/doi/10.1518/001872095779049543","Full-text analytic extraction completed for selected claims","Include"
"S18","Hevner et al.","2004","Design Science in Information Systems Research","MIS Quarterly 28(1)","Research methodology","Information-systems design research","Design-science framework and guidelines","Artifact utility, quality and efficacy evaluation","Supports evaluation of a designed artifact through relevance, rigor and iterative assessment.","Does not replace empirical validation or resolve researcher self-evaluation bias.","Methodological basis for expert-informed design science and framework evaluation.","Methodology","10.2307/25148625","https://www.jstor.org/stable/25148625","Full-text analytic extraction completed for selected claims","Include"
"S19","Piorkowski, Lees & Barton","2011","Single maximal versus combination punch kinematics","Sports Biomechanics 10(1)","Boxing biomechanics","Experienced boxers performing jab, cross and hooks","Punch-type and modality kinematic comparison","Punch speed and delivery time","Shows punch type and execution context affect speed and delivery-time measurements.","Maximal bag punches and group measurements differ from webcam-based self-practice.","Supports jab-specific scope and cautions against generalizing across punch types or contexts.","Domain rationale; limitations","10.1080/14763141.2010.547590","https://www.tandfonline.com/doi/abs/10.1080/14763141.2010.547590","Full-text analytic extraction completed for selected claims","Include"
"S20","Lockwood & Tant","1997","Mechanical and Electromyographical Analysis of a Boxer's Jab","ISBS Conference Proceedings","Jab biomechanics","Four professional and five amateur boxers","2D kinematics, EMG and instrumented bag force","Kinematics, muscle activity and force","Treats the jab as coordinated upper- and lower-body action rather than an isolated elbow movement.","Small sample, older 2D/30 Hz capture and conference evidence limit precision and generalization.","Supports multi-joint feedback priorities while requiring modest biomechanical claims.","Domain rationale; limitations","","https://ojs.ub.uni-konstanz.de/cpa/article/view/3649","Full-text analytic extraction completed for selected claims","Include with caution"
"S21","Ald'ily et al.","2023","The Kinematic Analysis of the Straight Punch in Two Ways for Amateur Boxing Players in Jordan","SPORT TK-EuroAmerican Journal of Sport Sciences","Boxing biomechanics","Amateur boxing players","Kinematic comparison of two straight-punch methods","Foot distance, arm movement, speed, time and joint angles","Identifies shoulder, elbow, pelvis and lower-limb angles as relevant straight-punch variables.","Straight-punch methods and study setting may not map exactly to this system's lead jab definition.","Supports multi-joint measurement categories, not fixed universal thresholds.","Domain rationale; limitations","10.6018/sportk.517831","https://revistas.um.es/sportk/article/view/517831","Full-text analytic extraction completed for selected claims","Include with caution"
"S22","Huang et al.","2019","STGAT: Modeling Spatial-Temporal Interactions for Human Trajectory Prediction","ICCV","Pedestrian trajectory prediction","Pedestrian trajectory datasets","Spatial-temporal graph attention for person trajectories","Trajectory displacement metrics","Relevant only as a general graph-attention precedent.","Predicts pedestrian paths, not articulated skeletal pose; name overlap with ACP-STGAT can mislead.","Do not use as direct evidence for skeletal future-pose validity; retain as exclusion/terminology note.","Exclusion log","","https://openaccess.thecvf.com/content_ICCV_2019/html/Huang_STGAT_Modeling_Spatial-Temporal_Interactions_for_Human_Trajectory_Prediction_ICCV_2019_paper.html","Official full paper and metadata available; abstract verified","Exclude from direct support"
